gene_claim_name	gene_concept_id	gene_name	interaction_source_db_name	interaction_source_db_version	interaction_type	interaction_score	drug_claim_name	drug_concept_id	drug_name	approved	immunotherapy	anti_neoplastic
TP53	hgnc:11998	TP53	JAX-CKB	5-Jun-23	NULL	0.008283715	Alpelisib	rxcui:2169285	ALPELISIB	TRUE	FALSE	TRUE
TP53	hgnc:11998	TP53	JAX-CKB	5-Jun-23	NULL	0.044179816	CG-806	ncit:C162573	LUXEPTINIB	FALSE	FALSE	FALSE
TP53	hgnc:11998	TP53	JAX-CKB	5-Jun-23	NULL	0.132539447	AZD7648	iuphar.ligand:10601	AZD7648	FALSE	FALSE	FALSE
TP53	hgnc:11998	TP53	JAX-CKB	5-Jun-23	NULL	0.007573683	Camptothecin	ncit:C338	CAMPTOTHECIN	TRUE	FALSE	TRUE
TP53	hgnc:11998	TP53	JAX-CKB	5-Jun-23	NULL	0.015592876	Abiraterone	rxcui:1100071	ABIRATERONE ACETATE	TRUE	FALSE	TRUE
TP53	hgnc:11998	TP53	JAX-CKB	5-Jun-23	NULL	0.132539447	Serdemetan	ncit:C77904	SERDEMETAN	FALSE	FALSE	FALSE
TP53	hgnc:11998	TP53	JAX-CKB	5-Jun-23	NULL	NULL	AZ31	NULL	NULL	NULL	NULL	NULL
VHL	hgnc:12687	VHL	JAX-CKB	5-Jun-23	NULL	NULL	STF-62247	NULL	NULL	NULL	NULL	NULL
VHL	hgnc:12687	VHL	JAX-CKB	5-Jun-23	NULL	NULL	ELR510444	NULL	NULL	NULL	NULL	NULL
VHL	hgnc:12687	VHL	JAX-CKB	5-Jun-23	NULL	NULL	BPTES	NULL	NULL	NULL	NULL	NULL
VHL	hgnc:12687	VHL	JAX-CKB	5-Jun-23	NULL	0.491500449	Saracatinib	ncit:C48378	SARACATINIB	FALSE	FALSE	TRUE
TP53	hgnc:11998	TP53	JAX-CKB	5-Jun-23	NULL	0.044179816	Alemtuzumab	rxcui:117055	ALEMTUZUMAB	TRUE	TRUE	TRUE
VHL	hgnc:12687	VHL	JAX-CKB	5-Jun-23	NULL	0.409583708	Alpha 2 Interferon	rxcui:5879	INTERFERON ALFA-2A	TRUE	TRUE	TRUE
KIT	hgnc:6342	KIT	CancerCommons	25-Jul-13	inhibitor	NULL	PLX108-01	NULL	NULL	NULL	NULL	NULL
FLT3	hgnc:3765	FLT3	CancerCommons	25-Jul-13	inhibitor	NULL	PLX108-01	NULL	NULL	NULL	NULL	NULL
IGF1R	hgnc:5465	IGF1R	CancerCommons	25-Jul-13	antibody	0.945193171	AMG 479	ncit:C71531	GANITUMAB	FALSE	TRUE	TRUE
ABL1	hgnc:76	ABL1	CGI	5-Jun-23	NULL	0.046661435	Cabozantinib	rxcui:1363267	CABOZANTINIB S-MALATE	TRUE	FALSE	TRUE
BCL2	hgnc:990	BCL2	CGI	5-Jun-23	NULL	0.009130039	Bortezomib	rxcui:358258	BORTEZOMIB	TRUE	FALSE	TRUE
AKT3	hgnc:393	AKT3	CGI	5-Jun-23	NULL	1.053215248	AZD5363	ncit:C102564	CAPIVASERTIB	FALSE	FALSE	TRUE
DPYD	hgnc:3012	DPYD	CGI	5-Jun-23	NULL	NULL	Flourouracil	NULL	NULL	NULL	NULL	NULL
BRCA2	hgnc:1101	BRCA2	CGI	5-Jun-23	NULL	0.693882987	Rucaparib	rxcui:1862579	RUCAPARIB	TRUE	FALSE	TRUE
ERBB2	hgnc:3430	ERBB2	CGI	5-Jun-23	NULL	NULL	Chemotherapy	NULL	NULL	NULL	NULL	NULL
EGFR	hgnc:3236	EGFR	CGI	5-Jun-23	NULL	0.033559063	Sirolimus	rxcui:35302	SIROLIMUS	TRUE	TRUE	TRUE
ERBB2	hgnc:3430	ERBB2	CGI	5-Jun-23	NULL	0.028855212	Anastrozole	rxcui:84857	ANASTROZOLE	TRUE	FALSE	TRUE
ERBB2	hgnc:3430	ERBB2	CGI	5-Jun-23	NULL	0.841610358	Neratinib	rxcui:1940643	NERATINIB	TRUE	FALSE	TRUE
ESR1	hgnc:3467	ESR1	CGI	5-Jun-23	NULL	NULL	Fluvestrant	NULL	NULL	NULL	NULL	NULL
FGF3	hgnc:3681	FGF3	CGI	5-Jun-23	NULL	0.165674309	Dovitinib	ncit:C76199	DOVITINIB	FALSE	FALSE	TRUE
HDAC2	hgnc:4853	HDAC2	CGI	5-Jun-23	NULL	0.036885587	Olaparib	rxcui:1597582	OLAPARIB	TRUE	FALSE	TRUE
KIT	hgnc:6342	KIT	CGI	5-Jun-23	NULL	0.536530705	Ponatinib	rxcui:1364347	PONATINIB	TRUE	FALSE	TRUE
JAK2	hgnc:6192	JAK2	CGI	5-Jun-23	NULL	2.548835518	Ruxolitinib	rxcui:1193326	RUXOLITINIB	TRUE	FALSE	TRUE
IL7R	hgnc:6024	IL7R	CGI	5-Jun-23	NULL	6.805390834	Ruxolitinib	rxcui:1193326	RUXOLITINIB	TRUE	FALSE	TRUE
LRP1B	hgnc:6693	LRP1B	CGI	5-Jun-23	NULL	NULL	Liposomal Doxorubicin	NULL	NULL	NULL	NULL	NULL
NF2	hgnc:7773	NF2	CGI	5-Jun-23	NULL	NULL	Chemotherapy	NULL	NULL	NULL	NULL	NULL
PIK3CA	hgnc:8975	PIK3CA	CGI	5-Jun-23	NULL	NULL	Chemotherapy	NULL	NULL	NULL	NULL	NULL
RET	hgnc:9967	RET	CGI	5-Jun-23	NULL	0.413895115	Ponatinib	rxcui:1364347	PONATINIB	TRUE	FALSE	TRUE
FLT3	hgnc:3765	FLT3	CGI	5-Jun-23	NULL	0.612933849	Ponatinib	rxcui:1364347	PONATINIB	TRUE	FALSE	TRUE
PTEN	hgnc:9588	PTEN	CGI	5-Jun-23	NULL	NULL	Chemotherapy	NULL	NULL	NULL	NULL	NULL
RAD50	hgnc:9816	RAD50	CGI	5-Jun-23	NULL	NULL	CHK1	NULL	NULL	NULL	NULL	NULL
ATM	hgnc:795	ATM	CGI	5-Jun-23	NULL	NULL	CHK1	NULL	NULL	NULL	NULL	NULL
RAF1	hgnc:9829	RAF1	CGI	5-Jun-23	NULL	0.393200359	U0126	iuphar.ligand:5282	U0126	FALSE	FALSE	TRUE
ROS1	hgnc:10261	ROS1	CGI	5-Jun-23	NULL	0.160271886	Cabozantinib	rxcui:1363267	CABOZANTINIB S-MALATE	TRUE	FALSE	TRUE
CHRM3	hgnc:1952	CHRM3	ChEMBL	32	inhibitor	0.398513878	MEPENZOLATE BROMIDE	rxcui:52560	MEPENZOLATE BROMIDE	TRUE	FALSE	FALSE
SSTR5	hgnc:11334	SSTR5	ChEMBL	32	agonist	6.143755614	LANREOTIDE ACETATE	rxcui:236167	LANREOTIDE ACETATE	TRUE	FALSE	FALSE
ACE	hgnc:2707	ACE	ChEMBL	32	inhibitor	0.567115903	BENAZEPRIL HYDROCHLORIDE	rxcui:235758	BENAZEPRIL HYDROCHLORIDE	TRUE	FALSE	FALSE
